2020-09-05 12:53:16.824 DEBUG    [detect_vehicles] Contour #127: pos=(x=424, y=35) size=(w=7, h=7) valid=False
2020-09-05 12:53:16.824 DEBUG    [detect_vehicles] Contour #128: pos=(x=1156, y=31) size=(w=8, h=13) valid=False
2020-09-05 12:53:16.825 DEBUG    [detect_vehicles] Contour #129: pos=(x=955, y=22) size=(w=7, h=8) valid=False
2020-09-05 12:53:16.825 DEBUG    [detect_vehicles] Contour #130: pos=(x=10, y=20) size=(w=19, h=32) valid=False
2020-09-05 12:53:16.825 DEBUG    [detect_vehicles] Contour #131: pos=(x=534, y=17) size=(w=7, h=8) valid=False
2020-09-05 12:53:16.826 DEBUG    [detect_vehicles] Contour #132: pos=(x=268, y=12) size=(w=10, h=11) valid=False
2020-09-05 12:53:16.826 DEBUG    [detect_vehicles] Contour #133: pos=(x=488, y=11) size=(w=12, h=15) valid=False
2020-09-05 12:53:16.826 DEBUG    [detect_vehicles] Contour #134: pos=(x=425, y=9) size=(w=8, h=8) valid=False
2020-09-05 12:53:16.827 DEBUG    [detect_vehicles] Contour #135: pos=(x=675, y=7) size=(w=10, h=11) valid=False
2020-09-05 12:53:16.827 DEBUG    [detect_vehicles] Contour #136: pos=(x=594, y=5) size=(w=7, h=8) valid=False
2020-09-05 12:53:16.827 DEBUG    [detect_vehicles] Contour #137: pos=(x=1158, y=1) size=(w=8, h=12) valid=False
2020-09-05 12:53:16.827 DEBUG    [detect_vehicles] Contour #138: pos=(x=956, y=0) size=(w=8, h=9) valid=False
2020-09-05 12:53:16.828 DEBUG    [detect_vehicles] Contour #139: pos=(x=932, y=0) size=(w=8, h=5) valid=False
2020-09-05 12:53:16.828 DEBUG    [detect_vehicles] Contour #140: pos=(x=533, y=0) size=(w=11, h=12) valid=False
